Nome_da_Escola;Tipo_de_Ensino;Municipio;Diretoria_de_Ensino;Rede_de_Ensino;Endereco_Completo;Bairro;CEP;ZONA;Telefones;Email
ALEXANDRE RODRIGUES NOGUEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA ALEXANDRE RODRIGUES NOGUEIRA, 000501 - RUA;JARDIM EMILIA;6900;Urbana;(011) 0004661-1002 / (011) 0004661-8479;E035403A@EDUCACAO.SP.GOV.BR
ALFREDO SCHUNK ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;AVENIDA DO MOINHO, 000290 - RUA;CIPO DO MEIO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-2680;PMEG.277836@EMBUGUACU.SP.GOV.BR
AMALIA OLIMPIA TROVOES FABENY ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SETE DE SETEMBRO, 000136;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-8960;PMEG.106963@EMBUGUACU.SP.GOV.BR
AMANDA CONSUELO DA CUNHA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA FILARINA ALVES DE OLIVEIRA, 000075 - RUA;PARQUE SAO PAULO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-2664;PMEG.277848@EMBUGUACU.SP.GOV.BR
ANTONIO LUCAS VIEIRA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA EMILIA JESUS, 000556 - RUA;JARDIM PROGRESSO;6900;Urbana;(011) 0004664-6590 / (011) 0096488-5417;PMEG.288081@EMBUGUACU.SP.GOV.BR
ARCO IRIS EVOLUCAO COLEGIO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA INACIO MANOEL DOMINGUES, 000148 - RUA;JARDIM EMILIA;6900;Urbana;(011) 0000000-0000 / (011) 0004661-6866;ARCOIRIS_EVOLUCAO@HOTMAIL.COM
BAIRRO BOA VISTA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;ESTRADA MUNICIPAL DO BAYTON, 001545 - RUA;BOA VISTA;6900;Urbana;(011) 0004665-1174 / (011) 0004665-1325;E918672A@EDUCACAO.SP.GOV.BR
BENEDITO ANTONIO CEZARINO ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;SAO WLADIMIR, 000104;FLORIDA;6900;Urbana;(011) 0000000-0000 / (011) 0097402-3250;PMEG.452476@EMBUGUACU.SP.GOV.BR
CECILIA CRISTINA DE OLIVEIRA RODRIGUES ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ANTONIO ADOLFO DA SILVA, 000186 - RUA;RECREIO REPRESA CIPO;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1190;PMEG.659137@EMBUGUACU.SP.GOV.BR
CEL JTO A EE PASCHOAL CARLOS MAGNO;CEL;EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;CORONEL LUIZ TENORIO DE BRITO, 001000;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-1810;E010285A@EDUCACAO.SP.GOV.BR
CHACARA FLORIDA II;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA CAMINHO CELIO JOSE PAULO, 000090 - RUA;CHACARA FLORIDA 2;6900;Urbana;(011) 0004661-2735 / (011) 0004661-8684;E919007A@EDUCACAO.SP.GOV.BR
CLARA RODRIGUES ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA CHYOMATSU OTANI, 000115 - RUA;CHACARA FLORIDA I;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3897;PMEG.075164@EMBUGUACU.SP.GOV.BR
COLEGIO ALPHA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;CARLOS SGARBI, 000468;VILA LOURO;6900;Urbana;(011) 0000000-0000 / (011) 0005555-0342;DIRETORIA@COLEGIOALPHA.COM
DONIZETTI APARECIDO LEITE PROFESSOR;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA JAVINA SCHUNCK, 000037 - RUA;CIPO GUACU;6900;Urbana;(011) 0004663-1203 / (011) 0004663-1648;E914782A@EDUCACAO.SP.GOV.BR
ELTON ROCUMBACK DOS SANTOS EM;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SEZEFREDO KLEIN DOLL, 000415 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-8791;PMEG.431278@EMBUGUACU.SP.GOV.BR
ERIKA AZEVEDO VIEIRA REIS ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA WANDERLEI COSTA, 000090 - RUA;JARDIM SAO PAULO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3827;PMEG.236263@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL BAIRRO LAGOA GRANDE;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;LARGO AMANCIO MIGUEL, 0000SN - RUA;LAGOA GRANDE;6900;Urbana;(011) 0004664-5076 / (011) 0099684-9003;PMEG.301413@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL JOAO ALVES;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;AVENIDA SAN DIEGO, 000285 - RUA;CHACARAS CALIFORNIA;6900;Urbana;(011) 0000000-0000 / (011) 0004663-5507;PMEG.285754@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL MAGDA POCHINI CAVINATI;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ANGEL PARRA COLMENERO, 000203 - RUA;VILA CRISTINA;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3781;PMEG.076405@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL MARIA IGNEZ CONCELLES IRMA INES;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA OLIRIO MOREIRA, 000028 - RUA;XORORO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-8978;PMEG.664224@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL O PEQUENO PRINCIPE;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ANTONIO CUNHA, 000109 - RUA;MARTINS FONTES;6900;Urbana;(011) 0000000-0000 / (011) 0004664-2621;PMEG.284973@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL PAIOL VELHO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA DA DIVISA, 004755 - RUA;PAIOL VELHO;6900;Rural;(011) 0000000-0000 / (011) 0004664-8050;PMEG.664200@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL PEDRO ANTONIO DE ALMEIDA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA BRASILIO VIEIRA, 000121 - RUA;SAPATEIRO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-6074;PMEG.277859@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL PROFESSOR WLADIMIR COSTA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ARLETE APARECIDA DE MORAES LOPES, 000220 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-3716;PMEG.107372@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL SITIO GERASSI;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA ANTONIO GERASSI, 002071 - RUA;SANTA FE;6900;Rural;(011) 0000000-0000 / (011) 0004664-6130;PMEG.428838@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL UNIAO DOS SABIAS;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SANTIAGO PASCHOAL, 000060 - RUA;DISTRITO DE CIPO GUACU;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1721;PMEG.282424@EMBUGUACU.SP.GOV.BR
ESCOLA MUNICIPAL VILA NORGANG;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;SALVINO ANTONIO PIRES, 000691 - RUA;ALTO DO ITARARE;6900;Urbana;(011) 0000000-0000 / (011) 0099680-1638;PMEG.483011@EMBUGUACU.SP.GOV.BR
ESTHER APARECIDA RODRIGUES DOS SANTOS EM;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA TIRADENTES, 000182 - RUA;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-4440;PMEG.431266@EMBUGUACU.SP.GOV.BR
ETELVINA DELFIM SIMOES EM;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA DAVID FARAH, 000045 - RUA;VILA LOURO;6900;Urbana;(011) 0000000-0000 / (011) 0004662-5775;PMEG.206805@EMBUGUACU.SP.GOV.BR
EURIDES JOSE AMORIM ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA CECILIA FREIBERGE MAIER, 000500 - RUA;CHACARA DOS AMIGOS;6900;Urbana;(011) 0000000-0000 / (011) 0004663-7676;PMEG.405413@EMBUGUACU.SP.GOV.BR
FLORIZA JUSTA SCHUNCK ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA PADRE DONIZETE, 0000SN - RUA;JARDIM CAMPESTRE;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1664;PMEG.285742@EMBUGUACU.SP.GOV.BR
FRANCISCO DE PAULA TEIXEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA SAO DANIEL, 000002 - RUA;JDPROGRESSO;6900;Urbana;(011) 0004661-2700 / (011) 0004661-8478;E912402A@EDUCACAO.SP.GOV.BR
HELIO LUIZ DOBROCHINSKI PROF;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;AVENIDA HENRIQUE SCHUNCK, 000033 - RUA;CIPO;6900;Urbana;(011) 0004663-2514 / (011) 0004663-2964;E046536A@EDUCACAO.SP.GOV.BR
IDALINA MACHADO DAS DORES ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA DE SANTA RITA KM 575 N, 057749 - RUA;PENTEADO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-7564;PMEG.643312@EMBUGUACU.SP.GOV.BR
JARDIM CAMPESTRE;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA PADRE DONIZETI, 000765 - RUA;JARDIM CAMPESTRE;6900;Urbana;(011) 0004663-2030 / (011) 0004663-2444;E918830A@EDUCACAO.SP.GOV.BR
JARDIM SILVANIA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;MAXIMILIANO PEREIRA, 000023;VILA DIRCE;6900;Urbana;(011) 0004663-1794 / (011) 0004663-2085;E920058A@EDUCACAO.SP.GOV.BR
JOAO FRIAZA COLEGIO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA SAO BENEDITO, 000450 - RUA;VAL FLOR;6900;Urbana;(011) 0000000-0000 / (011) 0004662-1320;SECRETARIACOLEGIOFRIAZA2016@GMAIL.COM
JOAO GAVA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;ESTRADA DA PAULISTINHA, 001450 - RUA;PAULISTINHA;6900;Rural;(011) 0000000-0000 / (011) 0004661-4006;PMEG.247236@EMBUGUACU.SP.GOV.BR
JOAO ORTIZ RODRIGUES;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;ESTR DR ANDRE STUCCHI, 001900 - RUA;FILIPINHO;6900;Urbana;(011) 0004661-2475 / (011) 0004661-8476;E904193A@EDUCACAO.SP.GOV.BR
JOAO PAULO II ESCOLA;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;DOM PEDRO II, 000184;CENTRO;6900;Urbana;(011) 0004661-2418 / (011) 0004661-3547;SECRETARIA@ESCOLAJOAOPAULO2.COM.BR
JOAO XXIII SERVICO ASSISTENCIAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;PRACA HENRIQUE SCHUNCK, 000017 - RUA;CIPO;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1399;
JOAQUIM MENDES FELIZ;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL-SE;RUA JOAO ANTONIO OLIVEIRA, 000315 - RUA;VAL FLOR;6900;Urbana;(011) 0004661-2819 / (011) 0004661-8471;E049086A@EDUCACAO.SP.GOV.BR
