Nome_da_Escola;Tipo_de_Ensino;Municipio;Diretoria_de_Ensino;Rede_de_Ensino;Endereco_Completo;Bairro;CEP;ZONA;Telefones;Email;rua;numero;new_endereco
ALEXANDRE RODRIGUES NOGUEIRA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;RUA ALEXANDRE RODRIGUES NOGUEIRA, 000501 - RUA;JARDIM EMILIA;6900;Urbana;(011) 0004661-1002 / (011) 0004661-8479;E035403A@EDUCACAO.SP.GOV.BR;RUA ALEXANDRE RODRIGUES NOGUEIRA;501;Rua Alexandre Rodrigues Nogueira, 501, Jardim Emilia, Embu-Guaçu, São Paulo, Brazil
ALFREDO SCHUNK ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;AVENIDA DO MOINHO, 000290 - RUA;CIPO DO MEIO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-2680;PMEG.277836@EMBUGUACU.SP.GOV.BR;AVENIDA DO MOINHO;290;Avenida Do Moinho, 290, Cipo Do Meio, Embu-Guaçu, São Paulo, Brazil
AMALIA OLIMPIA TROVOES FABENY ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA SETE DE SETEMBRO, 000136;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-8960;PMEG.106963@EMBUGUACU.SP.GOV.BR;RUA SETE DE SETEMBRO;136;Rua Sete De Setembro, 136, Centro, Embu-Guaçu, São Paulo, Brazil
AMANDA CONSUELO DA CUNHA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA FILARINA ALVES DE OLIVEIRA, 000075 - RUA;PARQUE SAO PAULO;6900;Urbana;(011) 0000000-0000 / (011) 0004664-2664;PMEG.277848@EMBUGUACU.SP.GOV.BR;RUA FILARINA ALVES DE OLIVEIRA;75;Rua Filarina Alves De Oliveira, 75, Parque Sao Paulo, Embu-Guaçu, São Paulo, Brazil
ANTONIO LUCAS VIEIRA ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA EMILIA JESUS, 000556 - RUA;JARDIM PROGRESSO;6900;Urbana;(011) 0004664-6590 / (011) 0096488-5417;PMEG.288081@EMBUGUACU.SP.GOV.BR;RUA EMILIA JESUS;556;Rua Emilia Jesus, 556, Jardim Progresso, Embu-Guaçu, São Paulo, Brazil
ARCO IRIS EVOLUCAO COLEGIO;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;PARTICULAR;RUA INACIO MANOEL DOMINGUES, 000148 - RUA;JARDIM EMILIA;6900;Urbana;(011) 0000000-0000 / (011) 0004661-6866;ARCOIRIS_EVOLUCAO@HOTMAIL.COM;RUA INACIO MANOEL DOMINGUES;148;Rua Inacio Manoel Domingues, 148, Jardim Emilia, Embu-Guaçu, São Paulo, Brazil
BAIRRO BOA VISTA;EE (ESCOLA ESTADUAL);EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;ESTRADA MUNICIPAL DO BAYTON, 001545 - RUA;BOA VISTA;6900;Urbana;(011) 0004665-1174 / (011) 0004665-1325;E918672A@EDUCACAO.SP.GOV.BR;ESTRADA MUNICIPAL DO BAYTON;1545;Estrada Municipal Do Bayton, 1545, Boa Vista, Embu-Guaçu, São Paulo, Brazil
BENEDITO ANTONIO CEZARINO ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;SAO WLADIMIR, 000104;FLORIDA;6900;Urbana;(011) 0000000-0000 / (011) 0097402-3250;PMEG.452476@EMBUGUACU.SP.GOV.BR;SAO WLADIMIR;104;Sao Wladimir, 104, Florida, Embu-Guaçu, São Paulo, Brazil
CECILIA CRISTINA DE OLIVEIRA RODRIGUES ESCOLA MUNICIPAL;OUTRAS;EMBU-GUACU;ITAPECERICA DA SERRA;MUNICIPAL;RUA ANTONIO ADOLFO DA SILVA, 000186 - RUA;RECREIO REPRESA CIPO;6900;Urbana;(011) 0000000-0000 / (011) 0004663-1190;PMEG.659137@EMBUGUACU.SP.GOV.BR;RUA ANTONIO ADOLFO DA SILVA;186;Rua Antonio Adolfo Da Silva, 186, Recreio Represa Cipo, Embu-Guaçu, São Paulo, Brazil
CEL JTO A EE PASCHOAL CARLOS MAGNO;CEL;EMBU-GUACU;ITAPECERICA DA SERRA;ESTADUAL;CORONEL LUIZ TENORIO DE BRITO, 001000;CENTRO;6900;Urbana;(011) 0000000-0000 / (011) 0004661-1810;E010285A@EDUCACAO.SP.GOV.BR;CORONEL LUIZ TENORIO DE BRITO;1000;Coronel Luiz Tenorio De Brito, 1000, Centro, Embu-Guaçu, São Paulo, Brazil
